,data
382,"[""I've"", 'listened', 'to', 'Tenshi', 'ni', 'Fureta', 'yo', 'so', 'many', 'times', 'that', ""I'm"", 'starting', 'to', 'memorize', 'the', 'lyrics', ',', 'and', 'it', ""'s"", 'only', 'been', 'out', 'for', '4', 'days', '!', 'o', '.', 'O']"
383,"['French', 'IV', 'embarrassed', 'me', 'today', '..', 'never', 'again', 'will', 'I', 'go', 'into', 'a', 'battle', 'unprepared', '.']"
384,"['Getting', 'the', '10am', 'bus', 'tomorrow', '#thethingsido']"
385,"['@iKutiePie', 'coolen', '..', 'i', 'aint', 'speak', 'to', 'my', 'lil', 'baby', 'all', 'day', '..', 'had', 'to', 'check', 'up', 'on', 'u']"
386,"['Whats', 'goin', 'on', '(', 'in', 'tally', ')', 'tonight', 'twitter', '!!']"
387,"['Don', 'Mattingly', 'will', 'replace', 'Joe', 'Torre', 'as', 'LA', 'Dodgers', 'manager', 'after', 'this', 'season']"
388,"['its', 'saturday', ';)', 'i', 'think', 'so', ':', 'L', '&lt;', '3', '&lt;', 'for', 'the', 'competition', 'xxxx', '(@PaigeLouiseRyan', 'live', 'on', 'http://twitcam.com/2237v', ')']"
389,"['hai', '@ayuhastari', 'sukses', 'ya', 'untuk', 'ngehostnya', 'today', 'di', 'inbox', ',', 'sy', 'gak', 'bisa', 'liat', 'nih', 'wajib', 'ngantor', '.']"
390,"['Pick', 'up', 'here', '.', 'Deliver', 'on', 'Dayton', 'NJ', 'tomorrow', '(@', 'Ball', 'Metal', 'Container', ')']"
391,"['I', 'just', 'took', '""', 'After', 'getting', 'trampled', 'at', 'a', 'Justin', 'Bieber', 'concert', ',', 'yoiu', 'wake', 'up', 'and', '...""', 'and', 'got', ':', 'Part', '6', ':)', '!', 'Try', 'it', ':', 'http://tinyurl.com/233u5lu']"
392,"['Castle', 'goes', 'down', ',', 'Murkowski', 'goes', 'write-in', '.', 'Probably', 'not', 'the', 'NRSC', ""'s"", 'best-ever', 'week', '.']"
393,"['I', 'just', 'remembered', 'this', 'week', 'is', 'The', 'Heatwave', '7th', 'birthday', '...', 'meant', 'to', 'make', 'tonight', ""'s"", 'Brixton', 'bashment', 'our', 'birthday', 'party', 'but', 'I', 'forgot', 'LOL']"
394,"['RT', '@jaye403', ':', '@BlackCanseco', 'you', 'know', 'it', 'is', 'funny', 'how', 'those', 'ppl', 'want', 'their', 'heros', 'remembered', '...', 'when', 'the', 'truth', 'is', 'are', 'less', 'than', 'worthy']"
395,"['@Loserface_Laura', 'when', 'mike', 'lets', 'me', 'know', ',', 'I', 'will', 'let', 'you', 'know', '.', 'I', 'mean', 'everyone', 'might', 'just', 'switch', 'out', 'a', 'lot', '.']"
396,"[""'RT"", '@amandacarolinne', ':', '""', 'Danger', 'Days', ':', 'The', 'True', 'Lives', 'Of', 'The', 'Fabulous', 'Killjoys', '""\'']"
397,"['Engadget', ':', 'Sky', '3D', 'enlists', 'Stephen', 'Fry', 'to', 'explain', 'the', 'technology', 'ahead', 'of', 'its', 'October', '1', 'launch', '(', 'video)', ':', 'With', 'the', 'of', '...', 'http://bit.ly/abRALO']"
398,"['Tonight', '@AZUKARlounge', 'Baka', 'Boyz', 'LIVE', 'w/', 'DJ', 'Elements', '103.5', '&amp;', 'Soreal', '.', '$150', 'VIP', 'booths', 'tonight', '.', 'Text', '916.960', '.', '8120', 'for', 'NO', 'cover', 'glist', '!!']"
399,"['RT', '@DesignerDepot', ':', 'Minimalist', 'Web', 'Design', ':', 'When', 'Less', 'is', 'More', '-', 'http://ow.ly/2FwyX']"
400,"['@MJay615', 'joining', 'the', 'awsm', 'before', ""I'm"", 'interested', 'to', 'see', 'what', ""they're"", 'bringing', 'to', 'it']"
401,"['I', 'just', 'took', '""', 'After', 'getting', 'trampled', 'at', 'a', 'Justin', 'Bieber', 'concert', ',', 'yoiu', 'wake', 'up', 'and', '...""', 'and', 'got', ':', 'Part', '6', ':)', '!', 'Try', 'it', ':', 'http://tinyurl.com/233u5lu']"
402,"['RT', '@NAT3OH3', ':', 'VMB', 'awards', 'last', 'night', 'were', 'super', 'fun', '-', 'we', 'won', 'best', 'bossa', 'nova', 'act', '!', 'off', 'to', 'HSBC', 'center', 'to', 'soundcheck', 'for', 'epic', 'show', 'tonight', '..', '...']"
403,"['photographing', 'the', 'midway', 'tonight', '..', 'should', 'be', 'fun', '..', 'lots', 'of', 'fun', 'lights', '!!', 'makes', 'for', 'great', 'photos', '..', 'like', 'this', 'one', '..', 'http://twitpic.com/2pdvsw']"
404,"['@urbanturbanguy', 'Ooh', ',', 'I', 'could', 'be', 'your', 'long', 'lost', 'Mexican', 'sister', 'for', 'this', '.']"
405,"['Top', '10', 'Best', 'Personal', 'Finance', 'Books', 'of', 'All', 'Time', '!', '|', 'Personal', 'Finance', '...', 'http://bit.ly/cAEI7h']"
406,"['@MajorBerry', 'Praying', 'with', 'ya', 'that', 'he', 'answers', '&amp;', 'will', 'be', 'in', 'Sweden', ',', 'so', 'you', 'can', 'meet', 'him', '!', 'I', 'met', 'him', '3', 'weeks', 'ago', '&amp;', 'still', 'thinking', 'about', 'it', 'lol', '.']"
407,"['The', 'Town', 'was', 'a', 'really', 'good', 'movie', '!!!', 'Now', 'passing', 'the', 'time', 'watching', '&quot;', 'Easy', 'A', '&quot;', 'until', '&quot;', 'Devil', '&quot;', 'starts', '!']"
408,"['Football', 'game', 'tonight', ':)', 'yeeah', 'boilers', '..', 'oh', 'wait', ',', 'we', 'suck', '.', 'haha']"
409,"['@', 'home', 'chilling', 'guess', 'I', ""'m"", 'staying', 'in', '2day', '2', 'rest', 'this', 'week', 'was', 'crazy', 'but', 'I', ""'m"", 'ready', 'for', 'dis', 'weekend']"
410,"['Are', 'you', 'ready', 'for', 'the', 'shield', 'game', 'tonight', 'at', '7', '?']"
411,"['@Emmas76', 'have', 'i', 'missed', 'anything', 'these', 'last', '2', 'weeks-', 'how', ""'s"", 'music', 'practice', 'going', '?']"
412,"['I', 'have', 'made', 'the', 'tough', 'decisions', ',', 'always', 'with', 'an', 'eye', 'toward', 'the', 'bottom', 'line', '.', 'Perhaps', 'it', ""'s"", 'time', 'America', 'was', 'run', 'like', 'a', 'business', '.', 'Donald', 'Trump']"
413,"['RT', '@CHRIS_Daughtry', ':', ""We're"", 'playing', 'a', 'show', 'with', 'KISS', 'tomorrow', '.', ""Can't"", 'say', 'I', 'saw', 'that', 'coming', '5', 'years', 'ago', '...']"
414,"['@poscas', 'I', 'said', 'to', 'him', ""'"", 'the', 'impression', 'I', 'had', 'of', 'early', '80s', 'NYC', 'was', 'if', 'you', 'went', 'to', 'Central', 'Park', 'after', 'dark', ""you'd"", 'be', 'lucky', 'to', 'come', 'out', ""alive'...""]"
415,"['I', 'hate', 'that', 'mini', 'heart', 'attack', 'you', 'get', 'when', 'you', 'lose', 'your', 'phone', 'and', 'its', 'on', 'silent']"
416,"['Coach', 'Germano', ',', 'Albin', ',', 'Haines', 'and', 'Burrow', 'each', 'had', 'home', 'damage', 'from', 'the', 'storm', 'yesterday', ',', 'according', 'to', '@JasonCorriher', '.']"
417,"['&lt;', '3', '@CamrynRocks', 'always', 'brightens', 'up', 'my', 'day', '.', 'you', 'should', 'follow', 'her', 'and', 'listen', 'to', 'her', 'wonderful', 'music', '.', '&lt;', '3']"
418,"['Really', 'wish', 'I', 'can', 'see', 'a', 'rocket', 'to', 'the', 'moon', 'today', '.', 'They', 'would', 'totally', 'make', 'my', 'day', '.']"
419,"['@alyaffair', 'Lol', ',', 'that', ""'s"", 'not', 'going', 'to', 'solve', 'your', 'problems', '.', 'When', 'you', 'sober', 'up', 'again', ',', ""they're"", 'going', 'to', 'back', '.']"
420,"['anyway', 'tonight', 'was', 'awesome', 'but', '@cammieahch', 'left', 'really', 'early', ':/']"
421,"['Congrats', 'to', '@BigBlueSpruce', 'and', 'their', 'record', 'release', 'today', '!', 'Join', 'us', 'to', 'celebrate', 'with', 'them', 'at', '@worldcafelive', 'Get', 'your', 'CD', '&amp;', 'tees', '8PM', 'today', '!']"
422,"['going', 'now', 'guiseeeee', '...', 'if', 'i', 'dont', 'see', 'you', 'through', 'the', 'week', 'ill', 'see', 'you', 'through', 'the', 'window', ':)', ':)']"
423,"['Thank', 'you', 'so', 'very', 'much', 'EVERYONE', 'for', 'the', 'lovely', 'Friday', 'Follows', 'today', '-', 'you', 'are', 'all', 'too', 'lovely', ':)', 'Sorry', ""I've"", 'not', 'had', 'time', 'to', 'reciprocate', 'xXx']"
424,"['Why', 'is', 'twitter', 'dead', '?', 'Oh', 'yeah', ',', 'that', ""'s"", 'right', ',', 'other', 'people', 'have', 'lives', 'on', 'Friday', 'nights', '.']"
425,"['Jessica', 'Simpson', 'is', 'PREGNANT', '!?!:', 'Jessica', 'Simpson', 'is', 'pregnant', '??', 'Simpson', 'is', 'pregnant', 'with', 'her', 'barely', '4-month', 'boyfrien', '...', 'http://bit.ly/aoempS']"
426,"['I', 'like', '@SouljaBoy', 'songs', 'after', 'a', 'few', 'drinks']"
427,"['Spent', 'all', 'of', 'last', 'night', 'puking', ',', 'and', 'all', 'of', 'today', 'fretting', '.', 'Some', 'people', 'totally', 'fail', 'to', 'pick', 'up', 'the', 'slack', 'when', 'you', 'are', 'away', '.']"
428,"['Apparently', '#turningpoint', 'has', 'a', 'hash-tag', '.', 'And', '@RoundhouseLDN', 'has', 'a', 'Twitter', 'account', '.', 'So', 'with', 'the', 'formalities', 'over', '...', 'see', 'you', 'tomorrow', '.']"
429,"['Greek', 'Festival', 'at', 'St', 'Johns', 'before', 'ASPEN']"
430,"['@The_TDawson', 'what', 'were', 'yu', 'talking', 'about', 'yesterday', '?']"
431,"['ahhh', 'yes', ',', 'a', 'friday', ':)', 'just', 'chilled', 'with', 'madison', '!', '&lt;', '3']"
432,"['@BEE_LYNN_BAYBEE', 'Funniest', 'shit', 'of', 'the', 'day', '""', 'Im', 'officially', 'blown', '.', 'Dont', 'wanna', 'to', 'talk', 'about', 'it', '""', 'lls']"
433,"['RT', '@TomsTop5', ':', 'Check', 'us', 'out', '-', 'we', ""'re"", 'FEATURED', 'on', 'iTunes', 'this', 'week', '!', 'Make', 'sure', 'to', 'subscribe', 'so', 'Jobs', 'knows', 'you', 'love', 'us', 'http://twitpic.com/2pdr8h']"
434,"['#FF', '@Ashley_Akalei', 'Love', 'her', '.', 'She`s', 'a', 'sweetie', 'when', 'she`s', 'in', 'a', 'good', 'mood', '.', 'Lol', '.']"
435,"['@Jeaworld', 'Happy', 'Birthday', 'JeA', 'Unnie', 'Have', 'lots', 'of', 'birthday', 'fun', 'May', 'your', 'birthday', 'wishes', 'all', 'come', 'true', 'luv', 'ya', '&amp;', 'take', 'care']"
436,"['#reallymeans', 'to', 'love-', ""can't"", 'get', 'her', 'outta', 'my', 'head', 'wann', 'spend', 'every', 'day', 'with', 'herz', '!']"
437,"['i', 'saw', '@TATTEDUP_FLYTY', 'one', 'day', 'walkin', '2', 'the', 'store', '..', 'and', 'this', 'foo', 'tripped', 'and', 'tried', '2', 'play', 'it', 'off', 'LOL', '!!!!']"
438,"['@mekamoe927', 'I', ""'ve"", 'had', 'one', 'before', ',', 'but', 'it', 'was', 'a', 'short', 'experience', '(', 'double', 'entendre', 'intended)', '.']"
439,"['Best', '#free', '#livemusic', 'in', '#Denver', 'tonight', 'with', 'the', 'return', 'of', 'Breaking', '&amp;', 'Entering', '.', 'Be', 'sure', 'to', 'come', 'down', 'to', 'Hi', 'Pac', 'and', 'check', 'it', 'out', '!']"
440,"['3', 'tests', 'and', 'an', 'essay', 'today', '.', '&gt;', '__', '&gt;', 'also', 'i', 'lost', 'my', 'backpackkk', 'c', ':', 'but', 'then', 'i', 'found', 'it', '.']"
441,"['Ah', 'crap', '.', 'No', '#MCRchat', 'tonight', 'for', 'me', ',', 'I', 'guess', ':', '|', 'Damn', 'I', 'was', 'so', 'excited', "":'"", '(']"
442,"['I', 'had', 'a', 'substitute', 'today', 'that', 'looked', 'like', '@thedillon', 'from', 'the', 'side', 'of', 'his', 'face', '.', 'Haha']"
443,"['RT', '@Leonsays', ':', 'Need', 'a', 'nice', 'chill', 'spot', 'tonight', ',', 'no', 'hype', '...', 'Any', 'suggestions', '?']"
444,"['What', 'is', 'everyone', 'watching', 'this', 'weekend', '?', 'Twins', '?', 'Vikings', '?', 'anyone', 'going', 'to', 'see', 'Friday', 'Night', 'Lights', '?']"
445,"['Yahoo', ':', 'Jackie', 'joins', 'Twitter', '50', 'years', 'after', 'JFK', 'campaign', ':', 'Had', 'Twitter', 'been', 'an', 'option', 'in', '1960', ',', 'a', 'pregnant', 'Jacquelin', '...', 'http://yhoo.it/9VAD4A']"
446,"['#MuchLove', 'to', 'my', 'baby', 'girl', '!', '10.20', '.', '09', '!!', 'One', 'year', 'here', 'we', 'come', '!']"
447,"['LADY', 'GAGA', 'IS', 'BETTER', 'THE', '5th', 'TIME', 'OH', 'BABY(', ':']"
448,"['argrgrgr', 'hy', 'is', 'it', 'already', 'midway', 'through', 'sep', '!!!!', ':(']"
449,"['I', 'just', 'took', '""', 'After', 'getting', 'trampled', 'at', 'a', 'Justin', 'Bieber', 'concert', ',', 'yoiu', 'wake', 'up', 'and', '...""', 'and', 'got', ':', 'Part', '6', ':)', '!', 'Try', 'it', ':', 'http://tinyurl.com/26zeju5']"
450,"['RT', '@Sexstrology', ':', 'Sagittarius', 'is', 'turned', 'off', 'when', 'you', 'play', 'hard', 'to', 'get', '.', 'They', 'want', 'it', 'now', '.']"
451,"['#JenniferAniston', 'quote', 'of', 'the', 'day', ':', 'I', ""don't"", 'have', 'a', 'religio', 'n.I', 'believe', 'in', 'a', 'Go', 'd.I', ""don't"", 'know', 'what', 'it', 'looks', 'like', '(', 'cont', ')', 'http://tl.gd/63av0t']"
452,"['@philmacaulay', 'Recently', 'appreciated', 'how', 'amazing', 'night', 'time', 'is', ':D']"
453,"['@bieberarmy_asia', 'hey', 'i', 'gotta', 'ask', 'you', 'something', 'if', 'i', 'can', ':)', 'please', 'tweet', 'me', 'when', 'you', 'be', 'online', 'and', ""i'll"", 'send', 'you', 'DM', '.', 'okkk', '?', 'thank', 'you']"
454,"['If', 'Conn', 'is', 'less', 'than', 'impressed', 'with', 'chevre', ',', 'he', 'has', 'a', 'loyal', 'ally', 'in', 'his', 'grandscruffy', ',', 'who', 'finds', 'it', 'great', 'when', 'it', ""'s"", 'good', '--', 'which', 'is', 'rarely', '.']"
455,"['RT', '@atlantamade1986Shorts', 'or', 'leggings', 'tonight', '??&quot;', 'Leggings', '.', 'It', ""'s"", 'sumthin', 'bout', 'em', 'I', 'like', 'on', 'a', 'woman', '...', 'cuz', 'u', 'can', 'c', 'da', 'cameltoe', 'that', ""'s"", 'why', '..', 'lol']"
456,"['Work', 'from', 'Home', 'try', 'a', 'FREE', '90', 'Day', 'Membership', ',', 'We', 'have', 'Clients', 'waiting', 'for', 'You', 'at', ':', 'http://www.dewpointe.com/JoinMyAppointmentSetter']"
457,"['@DonnieWahlberg', 'Hey', 'hun', '...', 'We', 'are', 'all', 'here', 'tonight', '.', 'lol', '.', 'Friday', '.', 'oh', 'yeah', '...', 'lol']"
458,"['My', 'first', 'assignment', 'was', 'a', 'medical', 'illustration', 'job', 'through', 'a', 'friend', '.', 'After', 'meeting', 'with', 'the', 'surgeon', ',', 'I', 'comple', '...']"
459,"['Hey', 'Listeners', ""we're"", 'recording', 'Sunday', 'for', 'episode', '28', '&amp;', 'it', ""'s"", 'a', 'retrospective', 'on', 'the', 'Halo', 'franchise', 'along', 'with', 'an', 'ass', 'load', 'of', 'other', 'goodness', '!']"
460,"['@KatherineRamos', 'it', ""'s"", 'cool', 'also', ""I'm"", 'not', 'sure', '.', 'If', 'I', 'were', 'you', ""I'd"", 'renew', 'right', 'away', 'before', 'but', 'if', 'not', ""I'd"", 'still', 'try', '.', 'Best', 'of', 'luck']"
461,"['Chilling', 'wit', 'my', 'baby', 'tonight', '!']"
462,"['Playboy', '-', '10', 'October', '2010', 'Slovenia', ':', 'Playboy', '-', '10', 'October', '2010', 'SloveniaSlovene', '|', '138', 'pages', '|', 'PDF', '|', '39.45', 'Mb', 'http://bit.ly/aJILb4']"
463,"['RT', '@Sexstrology', ':', 'Pisces', 'tend', 'to', 'escape', 'into', 'fantasy', 'and', 'day', 'dreams', '.', 'There', 'they', 'are', 'free', '.']"
464,"['Radio', 'Ga', 'Ga', ':', 'Collector', 'fills', 'his', 'house', 'with', '1,200', 'radio', 'sets', 'spanning', 'more', 'than', '100', 'years', 'http://bit.ly/dgpvp1']"
465,"['@vogueglamGIRL', 'Ah', 'I', 'know', '!', 'She', 'is', 'simply', 'the', 'best', 'in', 'The', 'Sept', 'Issue', '.', 'My', 'boyfriend', ""'s"", 'aunt', 'worked', 'for', 'Anna', 'Wintor', 'in', 'NY', '.']"
466,"['Having', 'movie', 'night', 'tonight', 'at', 'the', 'crib', 'and', 'ur', 'not', 'invited', '*BBM', 'sticks', 'tongue', 'out', 'smiley*']"
467,"['RT', '@LUNGevity', ':', 'This', 'is', 'going', 'to', 'be', 'an', 'amazing', 'weekend', 'w/3', 'events', 'on', 'the', 'same', 'day', 'benefiting', 'lung', 'cancer', 'research', '(', 'Sun/Sept', '19', ')', '!...', 'http', '...']"
468,"['Gotta', 'call', 'mom', '2', 'let', 'her', 'know', 'it', ""'s"", 'almost', '3', '.', 'Yli', 'gets', 'out', 'in', '15', '.', 'Mom', 'took', 'the', 'antenna', 'home', 'today', '&amp;', 'connected', 'it', 'at', 'home', ',', 'finally', '.']"
469,"['Chicago', 'Blackhawks', 'general', 'manager', 'Stan', 'Bowman', 'said', 'Cristobal', 'Huet', 'will', 'be', 'gone', 'in', 'two', 'weeks', '...', 'http://fan.ac/Ydv', '#NHL']"
470,"['@JayDubshow', 'it', 'showed', 'you', 'Clapping', 'on', 'TV', 'after', 'the', 'Swagger/Kofi', 'Match', 'Lol']"
471,"['Hendrix', 'died', '40', 'years', 'ago', '...', 'but', 'his', 'studio', 'lives', 'on', '.', 'A', 'look', 'at', 'NYC', ""'s"", 'Electric', 'Lady', 'Studios', ',', 'past', 'and', 'present', ':', 'http://ow.ly/2G49m']"
472,"['@FirstLadyEve', 'have', 'a', 'dating', 'show', 'with', '@ogochocinco', 'evry', 'week', ""'ll"", 'compete', 'with', 'sum', 'hawt', 'dude', '2', 'keep', 'ur', 'intrest', 'like', '@willdemps', 'my$', 'on', 'will']"
473,"['tonight', 'at', 'The', 'Lodge', ':', 'braised', 'bison', 'shortribs', ',', 'kabocha', 'squash', 'risotto', 'http://twitpic.com/2pdu4g']"
474,"['@OhSoJosie', 'shit', 'get', 'me', 'tight', 'when', 'I', 'go', 'to', 'the', 'beach', 'n', 'everybody', 'in', 'the', 'sand', '-_-']"
475,"['@Jessica_Chobot', 'did', 'you', 'see', 'the', 'yakuza', 'vs', 'zombies', '....', 'smh', 'but', 'cool', 'at', 'the', 'same', 'time']"
476,"['Comets', 'circle', 'the', 'universe', 'and', 'every', 'few', 'hundred', 'yrs', 'it', 'takes', 'photos', 'of', 'progress', 'Time', 'out', 'there', 'id', 'different', 'than', 'close', 'up']"
477,"['@Miss_SarahBaby', 'hmmm', '..', 'u', 'kno', 'when', 'happy', 'hour', 'ends', '?']"
478,"['@lauramcblain94_', 'lololololol', 'tonight', 'was', 'worse', 'than', 'stressful', '!', 'xo']"
479,"['Last', 'day']"
480,"['Going', 'to', 'the', 'country', 'fair', 'today', ':)']"
481,"['Maybe', 'it', ""'s"", 'compulsary', '..', 'when', ""you're"", 'over', 'the', 'age', 'of', '30', 'and', 'an', 'unemployed', 'wrestler', 'you', 'have', 'to', 'act', 'like', 'a', 'total', 'tool', '.', 'http://fb.me/GpyFjTgp']"
482,"['RT', '@broniaisdeadly', ':', 'http://www.youtube.com/watch?v=yRyK9doEmHE', '&lt;', 'A', 'DAY', 'IN', 'THE', 'LIFE', 'OF', 'ME', '.', 'Go', 'comment', 'and', 'subscribe', 'and', ""I'll"", 'love', 'you', '...']"
483,"['@keevaguilfoyle', 'you', 'know', ""you're"", 'loved', 'when', '@shabbyofficial', 'gets', 'a', 'new', 'hat', 'in', 'your', 'honor', '.']"
484,"['@bookpage', 'We', 'should', ""'ve"", 'scheduled', 'a', 'meeting', 'with', 'Trisha', 'in', 'Paris', 'for', 'this', 'week', '...', '#deau']"
485,"['my', 'past', 'was', 'the', 'reason', 'i', 'tried', 'to', 'kill', 'myself', 'the', 'other', 'day', ',', 'and', 'i', ""'ll"", 'gladly', 'do', 'it', 'again', '.']"
486,"['Just', 'listened', 'to', 'a', '24', 'y/o', 'kid', 'from', 'japan', 'who', 'won', 'the', 'national', 'flat', 'picking', 'championship', 'flipping', 'amazing', 'r/l', 'august', 'rush']"
487,"['Added', 'a', 'few', 'people', 'tonight', 'so', 'if', 'I', 'added', 'you', ""i'm"", 'not', 'a', 'stalker', ',', 'just', 'following', '@scotsman7', 'amd', 'his', '#FF', 'ty', ':)']"
488,"['@MikePortnoy', 'I', 'got', 'slapped', 'in', 'the', 'face', 'the', 'other', 'day', 'by', 'a', 'few', 'DT', 'fans', 'because', 'I', 'said', 'you', 'were', 'awesome', 'for', 'joining', 'A7X', '.', 'So', 'worth', 'it', '.', 'foREVer', '!']"
489,"['Jessum', ""'s"", 'Question', 'of', 'teh', 'Day', ':', 'who', ""'s"", 'you', 'favorite', 'sidekick', '?', 'Yesterday', ""'s"", 'results', ':', 'http://yfrog.com/mmeoxj']"
490,"[':(', 'RT', '@themaine', 'Who', 'is', 'coming', 'to', 'the', 'show', 'tomorrow', 'in', 'Hawaii', '?']"
491,"['@SweetBee_90', 'what', ""'s"", 'the', 'look', 'for', 'tonight', '?']"
492,"['@SofieB_', 'Hah', '!', 'That', ""'s"", 'the', 'one', 'programme', 'my', 'dad', 'and', 'I', 'watch', 'together', 'every', 'week', '!']"
493,"['Is', 'all', 'done', 'getting', 'things', 'set', 'up', 'for', 'the', 'Ultimate', 'Magic', 'playtest', 'that', 'starts', 'on', 'Monday', '.', 'Ca', ""n't"", 'wait', 'to', 'see', 'what', 'people', 'think', '.']"
494,"['So', 'this', 'will', 'be', 'more', 'lhs', 'games', 'then', 'i', 'went', 'to', 'then', 'when', 'i', 'went', 'to', 'lhs']"
495,"['@PERSONGUY6661', 'I', 'have', ""n't"", 'unfortunately', ':(', 'I', 'missed', 'the', 'chance', 'when', 'theycame', 'to', 'the', 'uk', 'this', 'year', ',', 'you', 'seen', 'them', '?']"
496,"['next', 'few', 'weeks', 'are', 'going', 'to', 'be', 'hectic', 'between', 'traveling', 'and', 'knee', 'surgery', 'when', 'i', 'get', 'back']"
497,"['@daddiee_nini', 'No', '...', ""I'll"", 'try', 'not', 'too', '.', ""I've"", 'missed', 'too', 'many', 'days', 'already', '...']"
498,"['@thedgoddess', 'I', 'can', 'be', '...', 'when', 'I', 'want', 'to', 'be', '.', 'RT', '@thedgoddess', ':', 'You', 'are', 'so', 'benevolent', ',', 'oh', 'kind', 'master', '.']"
499,"['@saarbei', 'ooh', '!', 'as', 'long', 'as', 'food', 'was', 'had', 'to', 'celebrate', '.', 'you', 'HAVE', 'to', 'celebrate', 'all', 'occasions', 'with', 'good', 'food', '!']"
500,"['@FaeNathara', 'Yes', ',', 'well', 'a', 'HOOT', 'absoroootly', 'because', ""I'm"", 'secretly', 'a', 'hoot', ',', 'the', 'rest', 'of', 'the', 'time', ""I'm"", 'serious', '...', ""don't"", 'tell', 'anyone']"
501,"['I', ""don't"", 'mean', 'to', 'sound', 'old', ',', 'but', 'today', ""'s"", 'music', 'is', 'wack', '.']"
502,"['Thank', 'you', 'for', 'all', 'your', 'support', '.', 'Best', 'wishes', 'from', ""DUKETERS'S..have"", 'a', 'nice', 'day']"
503,"['havent', 'been', 'on', 'facebook', 'for', 'a', 'day', '.', 'go', 'on', 'and', 'have', '0', 'notifications', '#foreveralone']"
504,"['holy', 'FUCK', 'THIS', 'IS', 'THE', 'MOST', 'BORING', 'DAY', 'EVER', '.']"
505,"['headin', 'to', 'get', 'shitty', 'in', 'a', 'few', '...', '1st', 'n', 'summit', '...', 'then', 'rehab', '...', 'my', 'life', 'will', 'be', 'a', 'blur', 'after', 'this', 'night']"
506,"['Sleeping', 'time', '.', 'Morgenochtend', 'maar', 'even', 'de', 'Koperdoos', 'een', 'schoonmaakbeurtje', 'geven', '...']"
507,"['New', '#VideoRecorder', '#7', ':', 'Flip', 'MinoHD', 'Video', 'Camera', '--', '8', 'GB', ',', '2', 'Hour', 'Record', 'Time', ':', 'Flip', 'MinoHD', 'Video', 'Camera', '--', '...', 'http://dlvr.it/5P5kV', '#cheaptweet']"
508,"['@Romanthropy', 'oi', 'u', 'there', ""'s"", 'a', '#MCRchat', 'on', 'tonight', '.', 'No', 'idea', 'what', 'it', 'entails', 'but', 'if', 'it', ""'s"", 'new', 'album', 'convos', 'were', 'in', '!!']"
509,"['@LOOPYisLINDSAY', 'hahaha', '.', 'Nice', '.', 'How', 'was', 'ur', 'day', '2day', '?']"
510,"['I', ""don't"", 'get', 'when', 'people', 'say', 'when', 'Justin', 'gets', 'a', 'gf', 'that', 'should', 'be', 'me', 'will', 'be', '#1', ""I'm"", 'pretty', 'sure', 'almost', 'all', 'bieber', 'fans', 'have', 'it', 'already', '.', '8', ')']"
511,"['@DesiiDanii4', 'nou', 'ze', 'is', 'al', 'een', 'week', 'best', 'wel', 'erg', 'ziek', ',', 'echt', 'heel', 'zielig', '!:']"
512,"['Fuckk', 'man', '!', 'I', 'fuckinn', 'missed', '@yelyahwilliams', 'concert', ':(', '#shizz', '!', 'I', 'wonder', 'if', ""they're"", 'coming', 'to', 'Arizona', 'next', 'year', '??']"
513,"['...', 'if', 'I', 'didnt', 'have', 'to', 'worry', 'about', '$', ""I'd"", 'move', 'to', 'VT', 'and', 'buy', 'some', 'hogs', 'and', 'spend', 'my', 'days', 'dropping', 'LSD', 'and', 'taking', 'long', 'walks', 'in', 'gucci', 'shoes', '...']"
514,"['RT', '@Mickey__Rourke', ':', '58', 'years', 'ago', 'today', 'I', 'tumbled', 'from', 'my', 'mother', ""'s"", 'womb', 'with', 'a', 'cigarette', 'in', 'my', 'mouth', 'and', 'a', 'chihuahua', 'puppy', 'under', 'each', 'arm', '...']"
515,"['@Tink3rbell94', 'going', 'to', 'GA', ',', ""don't"", 'know', 'why', 'but', 'when', 'I', 'thought', 'about', 'it', 'ATL', 'stood', 'out', 'in', 'my', 'mind', '.', 'I', 'have', 'time', 'to', 'plan', 'it', 'properly', 'though', ':)']"
516,"['Tryna', 'Get', 'Into', 'Something', 'Tonight']"
517,"['some', 'freshies', 'sat', 'at', 'our', 'lunch', 'table', 'today', '.', 'so', 'i', 'sat', 'with', 'them', 'and', 'talked', 'with', 'them', 'about', '..', 'stuff', '.']"
518,"['RT', '@oceanbutterfly7', ':', 'Sweet', 'spirited', ':', 'U', 'brighten', 'my', 'day', '!!', '@kalnok', '@Realtorkeita', '@SaintDC', '@angelgrace226', '@Anita316', '@Leters4theLord', '@GlyndiA', '...']"
519,"['when', 'did', '@thecodysimpson', 'last', 'tweet', ',?', ';)']"
520,"['@JBsHOTNESS', 'i', 'do', 'talk', 'about', 'him', 'every', 'second', 'she', 'like', 'his', 'songs', 'for', 'a', 'week', ':/', '@clarebieberx', 'np', '!', '@FutreTeenStar', 'sure', '!!']"
521,"['fckn', 'emily', 'rodriguez', 'did', ""n't"", 'bring', 'my', 'cookies', 'today', '!!', 'lil', 'brat', '.']"
522,"['@Wes0010', 'good', 'idea', '!', 'i', 'have', 'some', 'i', 'found', 'in', 'the', 'golf', 'bag', 'i', 'just', 'received', 'from', 'my', 'aunt', 'who', 'died', '21', 'years', 'ago', '!']"
